ID,User Story,Priority,Remark,Type,Status
US-001,"As a CLI user, I want to import NMEA format GPS data files, so that I can process my NMEA recorded lap data.",High,支持标准NMEA 0183格式GPS数据解析，提取时间、坐标、速度信息,Business Story,Backlog
US-002,"As a CLI user, I want to import VBO (VBox) format data files, so that I can process my VBox recorded lap data.",High,支持VBox输出的VBO格式解析，提取完整传感器数据,Business Story,Backlog
US-003,"As a developer, I want a unified internal data format for all imported data, so that the subsequent analysis logic can be consistent.",High,定义统一的JSON内部数据结构，包含所有必要字段。<br>**如果不做：** 不同数据源导入的数据格式不一致，后续分析模块需要处理多种格式，代码重复且难以维护，扩展性差，添加新数据格式支持成本极高,Technical Task,Backlog
US-004,"As a CLI user, I want to batch import multiple data files in one command, so that I can quickly get lap information for all files.",High,支持多个文件作为输入参数，一次性处理完成,Business Story,Backlog
US-005,"As a CLI user, I want the system to automatically detect and split laps based on start/finish line, so that I don't need to manually split laps.",High,根据GPS轨迹自动识别起点/终点线，切分出单个圈速,Business Story,Backlog
US-006,"As a CLI user, I want to see a list of all detected laps with lap time information, so that I can quickly understand the file content.",High,输出每个文件的圈数列表，显示每圈的圈时,Business Story,Backlog
US-007,"As a CLI user, I want to compare two arbitrary laps from same or different files, so that I can analyze the differences between my two laps.",High,支持跨文件对比任意两圈，输出对比结果,Business Story,Backlog
US-008,"As a CLI user, I want to see the total lap time difference between the two compared laps, so that I can know which lap is faster.",High,计算并显示总圈时差,Business Story,Backlog
US-009,"As a CLI user, I want to see time difference by sector (track segment), so that I can know where I gained or lost time.",High,基于赛道分段计算并显示分段时间差,Business Story,Backlog
US-010,"As a CLI user, I want all commands to support single execution and exit mode, so that I can easily script and automate workflows.",High,无交互式REPL，每个命令完成单个任务后退出，符合CLI工具设计哲学,Business Story,Backlog
US-011,"As a CLI user, I want default human-readable text output to stdout, so that I can quickly understand results in terminal.",High,默认输出易读的文本格式,Business Story,Backlog
US-012,"As an automation user, I want all commands to support JSON output format, so that I can parse results with other programs.",High,所有命令支持 `--json` 参数输出JSON，便于管道处理,Business Story,Backlog
US-013,"As a user, I want to manage track metadata with dedicated CLI commands, so that I can configure my commonly used tracks.",High,提供 `track list/info/add` 一组命令管理赛道数据,Business Story,Backlog
US-014,"As a user, I want to list all configured tracks with basic information, so that I can see what tracks are available.",High,`late-brake track list` 命令，列出所有内置和自定义赛道,Business Story,Backlog
US-015,"As a user, I want to see detailed information for a specific track, so that I can verify the track configuration.",High,`late-brake track info <track-id>` 命令，显示完整赛道信息,Business Story,Backlog
US-016,"As a user, I want to add or update a track from a JSON file, so that I can add my own custom tracks.",High,`late-brake track add <file.json>` 命令，导入赛道JSON文件,Business Story,Backlog
US-017,"As a user, I want the system to automatically match track based on GPS trace, so that I don't need to manually specify the track every time.",High,自动将导入的GPS轨迹与已配置赛道进行匹配,Business Story,Backlog
US-018,"As a user, I want to manually specify the track ID with `--track` parameter when automatic matching fails, so that I can still process the data.",High,支持 `--track <track-id>` 参数手动指定赛道,Business Story,Backlog
US-019,"As a user, I want built-in track metadata for common circuits, so that I can use the tool immediately without adding tracks myself.",Middle,内置上海国际赛车场、珠海国际赛车场等常见赛道数据,Business Story,Backlog
US-020,"As a user, I want speed difference comparison between two laps, so that I can analyze where I was faster or slower.",Middle,按分段/弯道显示速度差异,Business Story,Backlog
US-021,"As a developer, I need to define the track JSON format specification, so that users can correctly write custom track files.",High,编写赛道数据格式文档，定义完整JSON结构。<br>**如果不做：** 用户无法正确理解格式要求，无法创建自定义赛道文件，自定义赛道功能不可用,Technical Task,Backlog
US-022,"As a developer, I need to define the internal data format specification, so that all modules use consistent data structures.",High,编写内部数据格式文档。<br>**如果不做：** 不同模块开发时可能出现数据格式不兼容，导致模块间集成失败，增加调试难度,Technical Task,Backlog
US-023,"As a user, I want to manually adjust lap split points, so that I can correct automatic splitting errors.",Low,v1不实现，后续迭代,Business Story,Backlog
US-024,"As a user, I want to generate speed-distance curve data for visualization, so that I can draw charts in Excel or Python.",Low,v1不实现，后续迭代,Business Story,Backlog
US-025,"As a user, I want GPS trace visualization output, so that I can see the difference of racing lines on map.",Low,v1不实现，后续迭代,Business Story,Backlog
US-026,"As a user, I want the system to automatically identify the fastest lap in a file, so that I can quickly find my best performance.",Low,v1不实现，后续迭代,Business Story,Backlog
US-027,"As a racing driver, I want specialized braking point analysis between two laps, so that I can find the optimal braking point.",Low,这是产品核心诉求，但v1先做基础对比功能，后续迭代专门的刹车点分析,Business Story,Backlog
US-028,"As a user, I want support for CSV format import, so that I can import data from other recorders.",Low,v1只支持NMEA和VBO，后续迭代,Business Story,Backlog
US-029,"As a user, I want support for AiM format import, so that I can import data from AiM devices.",Low,v1只支持NMEA和VBO，后续迭代,Business Story,Backlog
US-030,"As a user, I want GPS data smoothing and filtering, so that analysis results are more accurate.",Low,对原始GPS数据进行平滑处理，减少噪声干扰。<br>**如果不做：** GPS原始数据噪声较大，导致计算得到的速度和位置偏差较大，影响分析结果的准确性，可能误导驾驶改进方向,Technical Task,Backlog
